FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.6557230,POINT (16.400470127660377 48.14134101680101),6557230,,10,"Untere Bahnlände, U1-Station Laaer-Berg-Straße",16,0
FAHRRADABSTELLANLAGEOGD.6557231,POINT (16.399264822586122 48.19598521019018),6557231,,3,Rabengasse 12,12,0
FAHRRADABSTELLANLAGEOGD.6557232,POINT (16.324712980859335 48.167063634136426),6557232,,12,Oswaldgasse ggü. 33A,6,0
FAHRRADABSTELLANLAGEOGD.6557233,POINT (16.47697865129815 48.21757302075451),6557233,,22,Trondheimgasse 1,2,0
FAHRRADABSTELLANLAGEOGD.6557234,POINT (16.411037034265544 48.21702154848594),6557234,,2,Vorgartenstraße 204,4,0
FAHRRADABSTELLANLAGEOGD.6557235,POINT (16.326820122510956 48.20248025614139),6557235,,15,Schweglerstraße/Friedensreich-Hundertwasser-Platz,10,0
FAHRRADABSTELLANLAGEOGD.6557236,POINT (16.39444617021743 48.17520718044324),6557236,,10,Gudrunstraße ggü. 11,10,0
FAHRRADABSTELLANLAGEOGD.6557237,POINT (16.36805096858785 48.24849440704552),6557237,,19,Leopold-Ungar-Platz,14,0
FAHRRADABSTELLANLAGEOGD.6557238,POINT (16.30599455964447 48.19563215443211),6557238,,15,Missindorfstraße 17,4,0
FAHRRADABSTELLANLAGEOGD.6557239,POINT (16.331254344082744 48.19021903672571),6557239,,15,Arnsteingasse 25,6,0
FAHRRADABSTELLANLAGEOGD.6557240,POINT (16.501210599803475 48.22423119200093),6557240,,22,Hannah-Arendt-Platz 1,30,0
FAHRRADABSTELLANLAGEOGD.6557241,POINT (16.382461063479717 48.152718360394054),6557241,,10,Favoritenstraße ggü. 243,56,0
FAHRRADABSTELLANLAGEOGD.6557242,POINT (16.35592710508653 48.187602348127555),6557242,,5,Bacherplatz ggü. 4,6,0
FAHRRADABSTELLANLAGEOGD.6557243,POINT (16.363229287447155 48.221130435636894),6557243,,9,Müllnergasse 19,10,0
FAHRRADABSTELLANLAGEOGD.6557244,POINT (16.330340261065906 48.200069853622296),6557244,,15,Hütteldorfer Straße 39,8,0
FAHRRADABSTELLANLAGEOGD.6557245,POINT (16.3326852253346 48.22359262973134),6557245,,17,Schuhmanngasse 75,6,0
FAHRRADABSTELLANLAGEOGD.6557246,POINT (16.322821402858782 48.21992406818113),6557246,,17,Sautergasse 7,6,0
FAHRRADABSTELLANLAGEOGD.6557247,POINT (16.340923879337428 48.22517821295454),6557247,,18,Schulgasse 45,8,0
FAHRRADABSTELLANLAGEOGD.6557248,POINT (16.34700269590219 48.23288542256721),6557248,,18,Gymnasiumstraße 61,8,0
FAHRRADABSTELLANLAGEOGD.6557249,POINT (16.375607782911807 48.21645226649333),6557249,,2,Große Schiffgasse 10,14,0
FAHRRADABSTELLANLAGEOGD.6557250,POINT (16.36651781590589 48.17382147164767),6557250,,10,Davidgasse 47,8,0
FAHRRADABSTELLANLAGEOGD.6557251,POINT (16.29488909940945 48.19713897103439),6557251,,14,Lützowgasse 13,8,0
FAHRRADABSTELLANLAGEOGD.6557252,POINT (16.33786469016741 48.20099068566437),6557252,,7,Urban-Loritz-Platz ggü. Neubaugürtel 38,6,0
FAHRRADABSTELLANLAGEOGD.6557253,POINT (16.372538689083154 48.22167448206964),6557253,,2,Haasgasse 5,16,0
FAHRRADABSTELLANLAGEOGD.6557254,POINT (16.391305121561505 48.2154376772855),6557254,,2,Franzensbrückenstraße 7,18,0
FAHRRADABSTELLANLAGEOGD.6557255,POINT (16.372985381224886 48.20484832228739),6557255,,1,Johannesgasse 9-13,12,0
FAHRRADABSTELLANLAGEOGD.6557256,POINT (16.37036537936557 48.220646682013474),6557256,,2,Rembrandtstraße 5,8,0
FAHRRADABSTELLANLAGEOGD.6557257,POINT (16.345815137889915 48.207117182768876),6557257,,8,Lerchenfelder Straße 82,4,0
FAHRRADABSTELLANLAGEOGD.6557258,POINT (16.350690819582884 48.208050465420335),6557258,,8,Zeltgasse 3-5,6,0
FAHRRADABSTELLANLAGEOGD.6557259,POINT (16.34701364885308 48.1910546114619),6557259,,6,Gumpendorfer Straße 111,6,0
FAHRRADABSTELLANLAGEOGD.6557260,POINT (16.37275959412334 48.201842244414784),6557260,,1,Kärntner Ring 11-13,6,0
FAHRRADABSTELLANLAGEOGD.6557261,POINT (16.398008944853412 48.219653283294384),6557261,,2,Mumbgasse 1-3,2,0
FAHRRADABSTELLANLAGEOGD.6557262,POINT (16.318918346660187 48.23853938707033),6557262,,18,Gersthofer Straße 141,6,0
FAHRRADABSTELLANLAGEOGD.6557263,POINT (16.34993671742011 48.18622121048882),6557263,,5,Einsiedlerplatz ggü. 3,4,0
FAHRRADABSTELLANLAGEOGD.6557264,POINT (16.345249714828906 48.194342475575546),6557264,,6,Haydngasse 19,2,0
FAHRRADABSTELLANLAGEOGD.6557265,POINT (16.387621886055182 48.21821491783251),6557265,,2,Weintraubengasse 33,8,0
FAHRRADABSTELLANLAGEOGD.6557266,POINT (16.366987518284386 48.19639756835279),6557266,,4,Schleifmühlgasse 1,2,0
FAHRRADABSTELLANLAGEOGD.6557267,POINT (16.36692868622962 48.196483012698906),6557267,,4,Schleifmühlgasse 2,4,0
FAHRRADABSTELLANLAGEOGD.6557268,POINT (16.324750471633674 48.190460823401644),6557268,,15,Schwendergasse 30,8,0
FAHRRADABSTELLANLAGEOGD.6557269,POINT (16.393890871245144 48.20970538406009),6557269,,3,Untere Weißgerberstraße 18-22,6,0
FAHRRADABSTELLANLAGEOGD.6557270,POINT (16.314583873701476 48.20553840370198),6557270,,15,Wickhoffgasse ggü. 15,4,0
FAHRRADABSTELLANLAGEOGD.6557271,POINT (16.345626730857106 48.209123464477216),6557271,,8,Lerchengasse 21,6,0
