FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.6553195,POINT (16.391506254731166 48.21905278106831),6553195,,2,Praterstern,14,0
FAHRRADABSTELLANLAGEOGD.6553196,POINT (16.35863114475837 48.17391605045127),6553196,,10,Gußriegelstraße 17,12,0
FAHRRADABSTELLANLAGEOGD.6553197,POINT (16.387291241022478 48.202471261265806),6553197,,3,Ungargasse 25,6,0
FAHRRADABSTELLANLAGEOGD.6553198,POINT (16.373868869549906 48.21277978423301),6553198,,1,Salzgries 2,4,0
FAHRRADABSTELLANLAGEOGD.6553199,POINT (16.37852880537253 48.24264493903358),6553199,,20,"Marchfeldstraße ggü. 14, Leystraße",6,0
FAHRRADABSTELLANLAGEOGD.6553200,POINT (16.357018738469975 48.21465850112438),6553200,,9,Universitätsstraße 8,8,0
FAHRRADABSTELLANLAGEOGD.6553201,POINT (16.361151096247404 48.22291891006212),6553201,,9,Porzellangasse 39,10,0
FAHRRADABSTELLANLAGEOGD.6553202,POINT (16.355604024926155 48.20431760460122),6553202,,7,Burggasse 6-8,4,0
FAHRRADABSTELLANLAGEOGD.6553203,POINT (16.487324024652427 48.23724132128501),6553203,,22,Am Heidjöchl 14,10,0
FAHRRADABSTELLANLAGEOGD.6553204,POINT (16.348529511339454 48.235671777592415),6553204,,19,Lannerstraße 1,10,0
FAHRRADABSTELLANLAGEOGD.6553205,POINT (16.400006366855795 48.22730248187675),6553205,,2,Engerthstraße 173-175,6,0
FAHRRADABSTELLANLAGEOGD.6553206,POINT (16.416151093000046 48.30136367498255),6553206,,21,Freiheitsplatz 4A/1,6,0
FAHRRADABSTELLANLAGEOGD.6553207,POINT (16.3568973482393 48.209993302606705),6553207,,1,Lichtenfelsgasse 5,6,0
FAHRRADABSTELLANLAGEOGD.6553208,POINT (16.392904766916946 48.199172687687614),6553208,,3,"Neulinggasse, Dannebergplatz",6,0
FAHRRADABSTELLANLAGEOGD.6553209,POINT (16.33893539615111 48.187235563695346),6553209,,12,Dunklergasse 2A,6,0
FAHRRADABSTELLANLAGEOGD.6553210,POINT (16.331552589372194 48.22610744693912),6553210,,18,Sommarugagasse 9,6,0
FAHRRADABSTELLANLAGEOGD.6553211,POINT (16.268390492469386 48.134447656414196),6553211,,23,Leinmüllergasse ggü. 1,6,0
FAHRRADABSTELLANLAGEOGD.6553212,POINT (16.359132475042017 48.203925279835744),6553212,,7,Museumsplatz 1,20,0
FAHRRADABSTELLANLAGEOGD.6553213,POINT (16.351096339073845 48.21061339599855),6553213,,8,Maria-Treu-Gasse 4,8,0
FAHRRADABSTELLANLAGEOGD.6553214,POINT (16.36951838234854 48.138469956607786),6553214,,23,Rosiwalgasse ggü. 91 - S80-Station Blumental,28,0
FAHRRADABSTELLANLAGEOGD.6553215,POINT (16.3898942494292 48.20675214670383),6553215,,3,Seidlgasse 18,6,0
FAHRRADABSTELLANLAGEOGD.6553216,POINT (16.369554570915756 48.19282679558922),6553216,,4,Mayerhofgasse 6,6,0
FAHRRADABSTELLANLAGEOGD.6553217,POINT (16.315057909177096 48.20399105333496),6553217,,15,Mareschplatz,6,0
FAHRRADABSTELLANLAGEOGD.6553218,POINT (16.321093024555864 48.19501025540584),6553218,,15,Wurmsergasse 9,6,0
FAHRRADABSTELLANLAGEOGD.6553219,POINT (16.33523646844205 48.20123896507264),6553219,,15,Hütteldorfer Straße 7-17,6,0
FAHRRADABSTELLANLAGEOGD.6553220,POINT (16.32615696818739 48.20297148350984),6553220,,15,Brunhildengasse 1A,6,0
FAHRRADABSTELLANLAGEOGD.6553221,POINT (16.32997751262781 48.1961300798007),6553221,,15,Felberstraße 42-46,10,0
FAHRRADABSTELLANLAGEOGD.6553222,POINT (16.334328680581535 48.18054841726819),6553222,,12,Mandlgasse 21,2,0
FAHRRADABSTELLANLAGEOGD.6553223,POINT (16.33807166335493 48.208303992269165),6553223,,16,Lerchenfelder Gürtel ggü. 35,16,0
FAHRRADABSTELLANLAGEOGD.6553224,POINT (16.373500937649666 48.21740686919457),6553224,,2,Obere Donaustraße 61,18,0
FAHRRADABSTELLANLAGEOGD.6553225,POINT (16.4215923337192 48.22535193065568),6553225,,22,Moissigasse 4,4,0
FAHRRADABSTELLANLAGEOGD.6553226,POINT (16.37712406414685 48.21890651126908),6553226,,2,Große Pfarrgasse 1,6,0
FAHRRADABSTELLANLAGEOGD.6553227,POINT (16.400053015879976 48.261884854825034),6553227,,21,Brünner Straße 31,6,0
FAHRRADABSTELLANLAGEOGD.6553228,POINT (16.3962974530127 48.20555156770921),6553228,,3,Erdberger Lände 2,6,0
FAHRRADABSTELLANLAGEOGD.6553229,POINT (16.287040767727166 48.17024283967813),6553229,,13,"Feldkellergasse ggü. 10, Leopold-Zechner-Platz",6,0
FAHRRADABSTELLANLAGEOGD.6553230,POINT (16.438459244854943 48.243209389812726),6553230,,22,Wintzingerodestraße 1,10,0
FAHRRADABSTELLANLAGEOGD.6553231,POINT (16.34917747736494 48.22917320565737),6553231,,18,Semperstraße 44,8,0
FAHRRADABSTELLANLAGEOGD.6553232,POINT (16.292077266704798 48.23164026841968),6553232,,17,Knollgasse 6,6,0
FAHRRADABSTELLANLAGEOGD.6553233,POINT (16.346632757739037 48.244986446647744),6553233,,19,Hohenauergasse 9,8,0
FAHRRADABSTELLANLAGEOGD.6553234,POINT (16.372015558411363 48.229529007875286),6553234,,20,Bäuerlegasse 2,6,0
FAHRRADABSTELLANLAGEOGD.6553235,POINT (16.367456964510076 48.24711933222076),6553235,,19,Muthgasse 18,12,0
FAHRRADABSTELLANLAGEOGD.6553236,POINT (16.4127544866151 48.28397528592425),6553236,,21,Brünner Straße ggü. 186,10,0
FAHRRADABSTELLANLAGEOGD.6553237,POINT (16.364258712420444 48.22717761558027),6553237,,9,Spittelauer Lände 3,8,0
FAHRRADABSTELLANLAGEOGD.6553238,POINT (16.36415287138065 48.227255982902314),6553238,,9,Spittelauer Lände 5,22,0
FAHRRADABSTELLANLAGEOGD.6553239,POINT (16.362231299582444 48.226930248558006),6553239,,9,Spittelauer Platz ggü. 1,10,0
FAHRRADABSTELLANLAGEOGD.6553240,POINT (16.36202123711385 48.22883595551525),6553240,,9,Tepserngasse 1-3,6,0
FAHRRADABSTELLANLAGEOGD.6553241,POINT (16.35305293938907 48.231672998487596),6553241,,18,"Währinger Gürtel ggü. 137, U6 Nußdorfer-Straße",4,0
FAHRRADABSTELLANLAGEOGD.6553242,POINT (16.35599242401094 48.23196326619712),6553242,,9,Liechtensteinstraße 155,10,0
FAHRRADABSTELLANLAGEOGD.6553243,POINT (16.359475582241696 48.217331220857226),6553243,,9,"Berggasse 1, Währinger Straße",6,0
FAHRRADABSTELLANLAGEOGD.6553244,POINT (16.35659343990829 48.21635673728532),6553244,,9,Schwarzspanierstraße 8,6,0
FAHRRADABSTELLANLAGEOGD.6553245,POINT (16.308260832010333 48.20215091128315),6553245,,14,Breitenseer Straße 48,8,0
FAHRRADABSTELLANLAGEOGD.6553246,POINT (16.304266498689845 48.18806834162074),6553246,,14,"Kennedybrücke U4, Hadikgasse",8,0
FAHRRADABSTELLANLAGEOGD.6553247,POINT (16.432663626363695 48.24280555774899),6553247,,22,"Siebeckstraße, U-Bahn Station",28,1
FAHRRADABSTELLANLAGEOGD.6553248,POINT (16.34703991118208 48.19557304915396),6553248,,6,Schmalzhofgasse 10,6,0
FAHRRADABSTELLANLAGEOGD.6553249,POINT (16.337470825647458 48.20199061225479),6553249,,7,"Urban-Loritz-Platz, U6 - Station Burggasse",8,1
FAHRRADABSTELLANLAGEOGD.6553250,POINT (16.338317890202838 48.19576999417226),6553250,,15,Europaplatz 1,42,0
FAHRRADABSTELLANLAGEOGD.6553251,POINT (16.45809461324982 48.22136651726213),6553251,,22,Hardeggasse 55,8,1
FAHRRADABSTELLANLAGEOGD.6553252,POINT (16.335857088365444 48.213864272410376),6553252,,16,Payergasse ggü. 14,6,0
FAHRRADABSTELLANLAGEOGD.6553253,POINT (16.261551550934605 48.198137232647525),6553253,,14,Keißlergasse 18,12,0
FAHRRADABSTELLANLAGEOGD.6553254,POINT (16.391132200583954 48.18834467404602),6553254,,3,Adolf-Blamauer-Gasse,8,0
FAHRRADABSTELLANLAGEOGD.6553255,POINT (16.43254520783974 48.24274310962958),6553255,,22,"Siebeckstraße, U-Bahnstation",28,1
FAHRRADABSTELLANLAGEOGD.6553256,POINT (16.389041962092513 48.218868879406315),6553256,,2,Heinestraße ggü. 43,6,0
FAHRRADABSTELLANLAGEOGD.6553257,POINT (16.34479872883693 48.18596307832195),6553257,,5,Margaretenstraße 166,5,0
FAHRRADABSTELLANLAGEOGD.6553258,POINT (16.362692236455405 48.198508578415876),6553258,,6,Linke Wienzeile 20,8,0
FAHRRADABSTELLANLAGEOGD.6553259,POINT (16.432790854733362 48.2429067912636),6553259,,22,"Siebeckstraße, U-Bahnstation Kagran",28,1
FAHRRADABSTELLANLAGEOGD.6553260,POINT (16.361625017628107 48.21797745582686),6553260,,9,Berggasse 12,8,0
FAHRRADABSTELLANLAGEOGD.6553261,POINT (16.260275568717883 48.196147650126555),6553261,,13,"Wientalstraße, Hackinger Steg",18,0
FAHRRADABSTELLANLAGEOGD.6553262,POINT (16.428927393285733 48.24054412156643),6553262,,22,Anton-Sattler-Gasse ggü. 8-12/3,6,1
FAHRRADABSTELLANLAGEOGD.6553263,POINT (16.26084510060102 48.19669811130125),6553263,,14,"U4 Hütteldorf-Bahnhof, Hackinger Steg",16,0
FAHRRADABSTELLANLAGEOGD.6553264,POINT (16.402318533618036 48.18991942624133),6553264,,3,Viehmarktgasse 2A,10,0
FAHRRADABSTELLANLAGEOGD.6553265,POINT (16.449666915527146 48.25759658733252),6553265,,22,"U1-Rennbahnweg, U1-Station",200,1
FAHRRADABSTELLANLAGEOGD.6553266,POINT (16.45021667156275 48.25842078550474),6553266,,22,"Wagramer Straße 224, U1-Rennbahnweg",60,1
FAHRRADABSTELLANLAGEOGD.6553267,POINT (16.432631346737214 48.242790068034445),6553267,,22,"Siebeckstraße, U1-Station",28,1
FAHRRADABSTELLANLAGEOGD.6553268,POINT (16.346290481385132 48.190502497646726),6553268,,6,Dominikanergasse 2,8,0
FAHRRADABSTELLANLAGEOGD.6553269,POINT (16.3424218617056 48.18960609625771),6553269,,6,Mollardgasse 87,12,0
FAHRRADABSTELLANLAGEOGD.6553270,POINT (16.34519142615423 48.19439813575911),6553270,,6,Haydngasse 19,2,0
FAHRRADABSTELLANLAGEOGD.6553271,POINT (16.25691958352677 48.201216303907565),6553271,,14,"Bergmillergasse 5, Ecke Stockhammergasse",8,0
FAHRRADABSTELLANLAGEOGD.6553272,POINT (16.37222136800371 48.20978254541574),6553272,,1,Bauernmarkt 8,6,0
FAHRRADABSTELLANLAGEOGD.6553273,POINT (16.432733914976332 48.242806096763445),6553273,,22,"Siebeckstraße, U-Bahn Station",8,1
FAHRRADABSTELLANLAGEOGD.6553274,POINT (16.412871046362547 48.23012907034339),6553274,,22,U1-Station Donauinsel-Vorplatz,16,1
FAHRRADABSTELLANLAGEOGD.6553275,POINT (16.344743369200685 48.194691081865166),6553275,,6,Schmalzhofgasse 19,6,0
FAHRRADABSTELLANLAGEOGD.6553276,POINT (16.368968694159992 48.23095047300998),6553276,,20,Hannovergasse 18,6,0
FAHRRADABSTELLANLAGEOGD.6553277,POINT (16.356003074012033 48.19717443362978),6553277,,6,Dürergasse 7,4,0
FAHRRADABSTELLANLAGEOGD.6553278,POINT (16.354662485300988 48.197925954321306),6553278,,6,Windmühlgasse 32,8,0
FAHRRADABSTELLANLAGEOGD.6553279,POINT (16.345617796476944 48.19069307886757),6553279,,6,Gumpendorfer Straße 121,8,0
FAHRRADABSTELLANLAGEOGD.6553280,POINT (16.351714851296837 48.19164364331147),6553280,,6,Mollardgasse 20,8,0
FAHRRADABSTELLANLAGEOGD.6554201,POINT (16.361350986411978 48.184119308323986),6554201,,5,Wiedner Hauptstraße 117,4,0
FAHRRADABSTELLANLAGEOGD.6554202,POINT (16.37798759251903 48.23974007417323),6554202,,20,"Höchstädtplatz, ggü. Stromstraße",18,0
FAHRRADABSTELLANLAGEOGD.6554203,POINT (16.379593939163698 48.16906527575842),6554203,,10,Rechberggasse 9,8,0
FAHRRADABSTELLANLAGEOGD.6554204,POINT (16.342444348374393 48.207665599069685),6554204,,7,Lerchenfelder Straße 103-109,6,0
FAHRRADABSTELLANLAGEOGD.6554205,POINT (16.309000233564184 48.2130369506818),6554205,,16,Stillfriedplatz ggü. 11-12,6,0
FAHRRADABSTELLANLAGEOGD.6554206,POINT (16.35489372966212 48.20864443048705),6554206,,8,Auersperstraße 13,8,0
FAHRRADABSTELLANLAGEOGD.6554207,POINT (16.363103164945425 48.185621324049144),6554207,,5,Wiedner Hauptstraße 99,6,0
FAHRRADABSTELLANLAGEOGD.6554208,POINT (16.364540180639885 48.186498325688994),6554208,,5,Kriehubergasse 28,8,0
FAHRRADABSTELLANLAGEOGD.6554209,POINT (16.3614285903571 48.18678162771854),6554209,,5,Stolberggasse 16,8,0
FAHRRADABSTELLANLAGEOGD.6554210,POINT (16.360439689343124 48.18354641553624),6554210,,5,Wiedner Hauptstraße 136,6,0
FAHRRADABSTELLANLAGEOGD.6554211,POINT (16.355024946626436 48.17499270971065),6554211,,10,Inzersdorfer Straße 127,8,0
FAHRRADABSTELLANLAGEOGD.6554212,POINT (16.405046010704393 48.22050353950403),6554212,,2,"Schönngasse 2-4, Schule",12,0
FAHRRADABSTELLANLAGEOGD.6554213,POINT (16.37579439617588 48.14456129698892),6554213,,10,Oberlaaer Straße 251,8,0
FAHRRADABSTELLANLAGEOGD.6554214,POINT (16.383496740725107 48.23893197138648),6554214,,20,Allerheiligenplatz 7,6,0
FAHRRADABSTELLANLAGEOGD.6554215,POINT (16.284057233574043 48.174859527533144),6554215,,13,Versorgungsheimstraße 1,6,0
FAHRRADABSTELLANLAGEOGD.6554216,POINT (16.35885586471483 48.18209661323758),6554216,,5,Wiedner Hauptstraße 154,4,0
FAHRRADABSTELLANLAGEOGD.6554217,POINT (16.362173172094888 48.18520091580737),6554217,,5,Wiedner Hauptstraße 114,8,0
FAHRRADABSTELLANLAGEOGD.6554218,POINT (16.28977508550253 48.15027053406879),6554218,,23,Gatterederstraße 15-17,8,0
FAHRRADABSTELLANLAGEOGD.6554219,POINT (16.363120167736206 48.18655345112651),6554219,,5,"Nikolsdorfer Gasse 1, Wiedner Hauptstraße",8,0
FAHRRADABSTELLANLAGEOGD.6554220,POINT (16.338837189216115 48.19048096120398),6554220,,6,Wallgasse 11,6,0
FAHRRADABSTELLANLAGEOGD.6554221,POINT (16.407810250121926 48.27668608019847),6554221,,21,Frauenstiftgasse 12A,8,0
FAHRRADABSTELLANLAGEOGD.6554222,POINT (16.38268580483503 48.144814622829216),6554222,,10,Himberger Straße 7,6,0
FAHRRADABSTELLANLAGEOGD.6554223,POINT (16.372570818295394 48.16990108158403),6554223,,10,Hardtmuthgasse 40-42,6,0
FAHRRADABSTELLANLAGEOGD.6554224,POINT (16.342821078722565 48.22214248659188),6554224,,18,Kreuzgasse 6,12,0
FAHRRADABSTELLANLAGEOGD.6554225,POINT (16.386157697277508 48.240390902793045),6554225,,20,"Wehlistraße 55, Millenium Entertainment Center",8,0
FAHRRADABSTELLANLAGEOGD.6554226,POINT (16.354847720626807 48.18704663977626),6554226,,5,Arbeitergasse 7,8,0
FAHRRADABSTELLANLAGEOGD.6554227,POINT (16.35865531141117 48.18167959740668),6554227,,5,Wiedner Hauptstraße 141-143,14,0
FAHRRADABSTELLANLAGEOGD.6554228,POINT (16.416358065210805 48.21495368097089),6554228,,2,Engerthstraße 230A,28,0
FAHRRADABSTELLANLAGEOGD.6554229,POINT (16.39595881994855 48.190831377375964),6554229,,3,Lissagasse 4,4,0
FAHRRADABSTELLANLAGEOGD.6554230,POINT (16.385976184220098 48.172907304105124),6554230,,10,Puchsbaumplatz 9,6,0
FAHRRADABSTELLANLAGEOGD.6554231,POINT (16.419735652201545 48.18548421722318),6554231,,11,"Guglgasse 8, ggü. Paragonstraße",22,0
FAHRRADABSTELLANLAGEOGD.6554232,POINT (16.359830658789406 48.1826484964979),6554232,,5,Wiedner Hauptstraße 133,6,0
FAHRRADABSTELLANLAGEOGD.6554233,POINT (16.349189820413653 48.20647383361226),6554233,,8,Lerchenfelder Straße 42,8,0
FAHRRADABSTELLANLAGEOGD.6554234,POINT (16.364162787267958 48.18774666387286),6554234,,5,Wiedner Hauptstraße 84-86,5,0
FAHRRADABSTELLANLAGEOGD.6554235,POINT (16.3847471223437 48.189854562138486),6554235,,3,Mohsgasse 2,6,0
FAHRRADABSTELLANLAGEOGD.6554236,POINT (16.361278056170637 48.216071010309705),6554236,,9,Hörlgasse 4,6,0
FAHRRADABSTELLANLAGEOGD.6554237,POINT (16.325692075440948 48.19702204903248),6554237,,15,Huglgasse 3A,8,0
FAHRRADABSTELLANLAGEOGD.6554238,POINT (16.301325276167287 48.22945797076522),6554238,,17,Alszeile 95,8,0
FAHRRADABSTELLANLAGEOGD.6554239,POINT (16.356398997022545 48.22191179755354),6554239,,9,Boltzmanngasse 10,8,0
FAHRRADABSTELLANLAGEOGD.6554240,POINT (16.35992260167445 48.22870914812982),6554240,,9,Althanstraße 10,6,0
FAHRRADABSTELLANLAGEOGD.6554241,POINT (16.276077507253206 48.1601667859707),6554241,,13,Sillerplatz,8,0
FAHRRADABSTELLANLAGEOGD.6554242,POINT (16.36177762616236 48.2259402362547),6554242,,9,"Julius-Tandler-Platz, Franz-Josefs-Bahnhof",32,1
FAHRRADABSTELLANLAGEOGD.6554243,POINT (16.261118514347736 48.19501081097203),6554243,,13,Auhofstraße 192,10,0
FAHRRADABSTELLANLAGEOGD.6554244,POINT (16.36542674671881 48.225097371297835),6554244,,9,Glasergasse 23,10,0
FAHRRADABSTELLANLAGEOGD.6554245,POINT (16.36500163774067 48.22649252171586),6554245,,9,"Stroheckgasse 13, Roßauer Lände",6,0
FAHRRADABSTELLANLAGEOGD.6554246,POINT (16.322664590503663 48.19601499156185),6554246,,15,"Kröllgasse 20, Schule",6,0
FAHRRADABSTELLANLAGEOGD.6554247,POINT (16.416834590594434 48.230718511155246),6554247,,22,Schüttaustraße 2,6,0
FAHRRADABSTELLANLAGEOGD.6554248,POINT (16.475630850994893 48.22349675024154),6554248,,22,Wonkaplatz,150,1
FAHRRADABSTELLANLAGEOGD.6554249,POINT (16.316916158583243 48.15004861778881),6554249,,23,"Anton-Baumgartner-Straße, Erlaaer Schleife",4,1
FAHRRADABSTELLANLAGEOGD.6554250,POINT (16.376320215481556 48.23883989594007),6554250,,20,Stromstraße 22-26,18,0
FAHRRADABSTELLANLAGEOGD.6554251,POINT (16.31651149452773 48.14162159453288),6554251,,23,"Erlaaer Straße, U 6 - Station",18,1
FAHRRADABSTELLANLAGEOGD.6554252,POINT (16.36758653540468 48.229925889056055),6554252,,20,Klosterneuburger Straße 34,6,0
FAHRRADABSTELLANLAGEOGD.6554253,POINT (16.34390980931853 48.2118522594105),6554253,,8,Albertgasse 37,6,0
FAHRRADABSTELLANLAGEOGD.6554254,POINT (16.353381731783774 48.222818179156256),6554254,,9,Nußdorfer Straße 3,16,0
FAHRRADABSTELLANLAGEOGD.6554255,POINT (16.352002119919902 48.210410426241026),6554255,,8,Schmidgasse 15,12,0
FAHRRADABSTELLANLAGEOGD.6554256,POINT (16.42088005712935 48.23462123164058),6554256,,22,"Wagramer Straße 19, Haupteingang Tower",16,0
FAHRRADABSTELLANLAGEOGD.6554257,POINT (16.375504863183178 48.21912031232152),6554257,,2,Raimundgasse 3,6,0
FAHRRADABSTELLANLAGEOGD.6554258,POINT (16.344033704996942 48.21318004402993),6554258,,8,Laudongasse 46,6,0
FAHRRADABSTELLANLAGEOGD.6554259,POINT (16.41394776127455 48.28637589950171),6554259,,21,"Hahnemanngasse, Brünner Straße",6,0
FAHRRADABSTELLANLAGEOGD.6554260,POINT (16.30135446229729 48.21418382446108),6554260,,16,Gallitzinstraße 2,6,0
FAHRRADABSTELLANLAGEOGD.6554261,POINT (16.370126469814103 48.226855070595086),6554261,,20,Jägerstraße 1,8,0
FAHRRADABSTELLANLAGEOGD.6553340,POINT (16.379671139801705 48.21634446202818),6553340,,2,Karmeliterplatz 5,8,0
FAHRRADABSTELLANLAGEOGD.6553341,POINT (16.379409375402478 48.21643648762587),6553341,,2,Karmelitergasse 8,4,0
FAHRRADABSTELLANLAGEOGD.6553342,POINT (16.353259574346218 48.23023353590885),6553342,,9,Ayrenhoffgasse 6,8,0
FAHRRADABSTELLANLAGEOGD.6553343,POINT (16.418094069788673 48.2933463979206),6553343,,21,"Brünner Straße ggü. 238, Kummergasse",8,0
FAHRRADABSTELLANLAGEOGD.6553344,POINT (16.357038248681935 48.20594220362682),6553344,,7,Museumstraße 12,6,0
FAHRRADABSTELLANLAGEOGD.6553345,POINT (16.362309502688102 48.198217366312605),6553345,,6,Linke Wienzeile ggü. 24,16,0
FAHRRADABSTELLANLAGEOGD.6553346,POINT (16.36077609012145 48.197574068326546),6553346,,6,Linke Wienzeile ggü. 36,6,0
FAHRRADABSTELLANLAGEOGD.6553347,POINT (16.36188168641505 48.198008109393875),6553347,,6,Linke Wienzeile ggü. Parkanlage,8,0
FAHRRADABSTELLANLAGEOGD.6553348,POINT (16.364060294966972 48.19329959303398),6553348,,4,Große Neugasse 28,6,0
FAHRRADABSTELLANLAGEOGD.6553349,POINT (16.362158190406237 48.195522657902615),6553349,,4,Heumühlgasse 7,6,0
FAHRRADABSTELLANLAGEOGD.6553350,POINT (16.3847118511605 48.20770021381798),6553350,,3,Gigergasse 2,4,0
FAHRRADABSTELLANLAGEOGD.6553351,POINT (16.308652119019598 48.20853410048283),6553351,,16,"Landsteinergasse 2, Enenkelstraße 3A",6,0
FAHRRADABSTELLANLAGEOGD.6553352,POINT (16.36972990029181 48.19725734635261),6553352,,4,Frankenberggasse 2-4,6,0
FAHRRADABSTELLANLAGEOGD.6553353,POINT (16.38454703093446 48.207616401774025),6553353,,3,Stelzhamergasse 1,6,0
FAHRRADABSTELLANLAGEOGD.6553354,POINT (16.340122806914827 48.19600822875725),6553354,,7,Mariahilfer Straße 128,12,0
FAHRRADABSTELLANLAGEOGD.6553355,POINT (16.36838474706448 48.200111506290355),6553355,,4,Karlsplatz,6,0
FAHRRADABSTELLANLAGEOGD.6553356,POINT (16.384005090458068 48.20659795928205),6553356,,3,"Gigergasse 5, Bahnhof Wien Mitte",16,0
FAHRRADABSTELLANLAGEOGD.6553357,POINT (16.359055495689095 48.19732016659139),6553357,,6,"Linke Wienzeile 42, ggü. U4 Kettenbrückengasse",16,0
FAHRRADABSTELLANLAGEOGD.6553358,POINT (16.339896328054742 48.19402100809565),6553358,,6,Wallgasse 39,4,0
FAHRRADABSTELLANLAGEOGD.6553359,POINT (16.335776776639285 48.21465476190123),6553359,,16,Ottakringer Straße 31,8,0
FAHRRADABSTELLANLAGEOGD.6553360,POINT (16.368506083166302 48.199432944427606),6553360,,4,Karlsplatz 14,6,0
FAHRRADABSTELLANLAGEOGD.6553361,POINT (16.33728634449354 48.214972861756785),6553361,,17,Ottakringer Straße 30,8,0
FAHRRADABSTELLANLAGEOGD.6553362,POINT (16.330398875869122 48.21407484346121),6553362,,17,Ottakringer Straße 72,8,0
FAHRRADABSTELLANLAGEOGD.6553363,POINT (16.336902149582457 48.22635529972466),6553363,,18,Schulgasse 71,6,0
FAHRRADABSTELLANLAGEOGD.6553364,POINT (16.39812013927499 48.221037421862356),6553364,,2,Ybbsstraße 13,6,0
FAHRRADABSTELLANLAGEOGD.6553365,POINT (16.340050382512363 48.216728090593925),6553365,,17,Hernalser Hauptstraße 11,12,0
FAHRRADABSTELLANLAGEOGD.6553366,POINT (16.27517791643285 48.19135104152427),6553366,,13,Amalienstraße  31,8,0
FAHRRADABSTELLANLAGEOGD.6553367,POINT (16.301380075933643 48.22823919364915),6553367,,17,Dornbacher Straße 42-44,12,0
FAHRRADABSTELLANLAGEOGD.6553368,POINT (16.362631497653133 48.21840563931887),6553368,,9,Berggasse 17,8,0
FAHRRADABSTELLANLAGEOGD.6553369,POINT (16.36473000452582 48.19602508646254),6553369,,4,Margaretenstraße 23,6,0
FAHRRADABSTELLANLAGEOGD.6553370,POINT (16.38323915163128 48.17784093776708),6553370,,10,Marianne-Pollak-Gasse 4,6,0
FAHRRADABSTELLANLAGEOGD.6553371,POINT (16.36388118650176 48.22091520776843),6553371,,9,"Grünentorgasse 19A, Servitengasse",8,0
FAHRRADABSTELLANLAGEOGD.6553372,POINT (16.2825141270881 48.173802090462694),6553372,,13,"Versorgungsheimstraße, Anton-Langer-Gasse",8,0
FAHRRADABSTELLANLAGEOGD.6553373,POINT (16.291124453307223 48.23367516622579),6553373,,17,Rudolf-Kirchschläger-Platz,6,0
FAHRRADABSTELLANLAGEOGD.6553374,POINT (16.319989111567264 48.18583868166152),6553374,,13,"Schönbrunner Brücke, U-Bahnstation Schönbrunn",18,0
FAHRRADABSTELLANLAGEOGD.6553375,POINT (16.348633482546752 48.19983046311313),6553375,,7,Lindengasse 40,16,0
FAHRRADABSTELLANLAGEOGD.6553376,POINT (16.34318837937167 48.20453452196082),6553376,,7,Schottenfeldgasse 70,10,0
FAHRRADABSTELLANLAGEOGD.6553377,POINT (16.43050915735504 48.206160816020564),6553377,,2,"Wehlistraße 291, U2-Donaumarina",18,0
FAHRRADABSTELLANLAGEOGD.6553378,POINT (16.41269762110361 48.215226468759795),6553378,,2,"Vorgartenstraße ggü. Sturgasse, U2-Station",56,1
FAHRRADABSTELLANLAGEOGD.6553379,POINT (16.386591412954914 48.216160669041585),6553379,,2,Rotensterngasse U1,8,0
FAHRRADABSTELLANLAGEOGD.6553380,POINT (16.397409695412797 48.13685131184504),6553380,,10,"Liesingbachstraße ggü. 87, ggü. Oberlaaer Steg",8,0
FAHRRADABSTELLANLAGEOGD.6553381,POINT (16.37519612289659 48.17657880350254),6553381,,10,"Pernerstorfergasse 30-32, Schule",8,0
FAHRRADABSTELLANLAGEOGD.6553382,POINT (16.30950012685661 48.20190299639511),6553382,,14,Laurentiusplatz 1,6,0
FAHRRADABSTELLANLAGEOGD.6553383,POINT (16.3909293565818 48.2638602265775),6553383,,21,Morsegasse 1,6,0
FAHRRADABSTELLANLAGEOGD.6553384,POINT (16.405416707474846 48.19838396429853),6553384,,3,Dietrichgasse 47,6,0
FAHRRADABSTELLANLAGEOGD.6553385,POINT (16.37481910519254 48.1799824841831),6553385,,10,Columbusgasse 15,6,0
FAHRRADABSTELLANLAGEOGD.6553386,POINT (16.27923856305346 48.190004114023516),6553386,,13,Auhofstraße 81,8,0
FAHRRADABSTELLANLAGEOGD.6553387,POINT (16.35666670160357 48.17224461145582),6553387,,10,Hantzenbergergasse 1,8,0
FAHRRADABSTELLANLAGEOGD.6553388,POINT (16.351873627617202 48.22412431191793),6553388,,9,Bleichergasse 12-14,12,0
FAHRRADABSTELLANLAGEOGD.6553389,POINT (16.357265881474916 48.196413206028474),6553389,,5,"Rechte Wienzeile ggü. 49, Falcostiege",8,0
FAHRRADABSTELLANLAGEOGD.6553390,POINT (16.365006760632745 48.17876354524456),6553390,,10,Karmarschgasse 19,6,0
FAHRRADABSTELLANLAGEOGD.6553391,POINT (16.359405820518305 48.213643294647916),6553391,,1,"Reichsratsstraße 4-6, ggü. Reichsratsstraße 17",32,0
FAHRRADABSTELLANLAGEOGD.6553392,POINT (16.36742943481115 48.17762495533666),6553392,,10,"Erlachgasse 124, Schule",5,0
FAHRRADABSTELLANLAGEOGD.6553393,POINT (16.36841567787128 48.17880020333914),6553393,,10,Alxingergasse 22,6,0
